username,time,content
冷***9,2017-11-26 23:09:36,非常美
z***a,2018-01-17 23:25:46,很漂亮。做书签很特别，做香插觉的有点可惜。
c***a,2018-03-10 08:52:24,非常非常漂亮
蘖***念,2017-05-15 17:07:06,作为礼物送的，收的人很喜欢
五***瓜,2017-08-02 12:30:54,收货人很满意，我很满意。
小***6,2018-03-31 13:29:30,好看，喜欢
p***o,2018-02-07 11:13:00,"好,送人很适合"
y***8,2017-08-12 10:59:50,很精致
t***8,2018-03-05 00:41:22,有茶杯垫那么大，准备做书签，做工精细
h***a,2018-01-05 11:39:44,东西已收到，质量不错哦
岭***人,2017-06-08 20:49:49,货品已经收到了，非常满意，有一个有点小瑕疵，卖家也很积极地解决问题了。
风***衿,2018-02-11 13:53:41,不是很大，做工很精美
c***7,2018-02-27 08:19:30,漂亮
x***0,2018-01-29 19:33:17,不错哦！
w***h,2017-12-18 20:20:43,非常喜欢。就是包装太浪费了
w***1,2018-01-15 19:10:10,贼好看啊啊啊啊！什么赞美都没法表达这个物品的精致度啦！超级好看！而且物流很快！我都舍不得用啦！太美了！
i***a,2017-12-20 00:27:22,美貌！送人的，没有拆开试熏香台的形态~
z***r,2017-06-17 23:38:09,速度惊人！我着急用，联系客服换快递，当天就收到了！赞赞赞！
s***q,2018-01-24 21:23:09,送人的，包装比较简单，送人不体面，还好送给好朋友，不那么在乎包装
李***o,2018-01-09 21:40:40,挺好的
c***t,2017-08-29 16:00:20,挺精致的，不舍得折叠。
z***1,2017-12-19 09:55:24,很漂亮
f***e,2017-11-15 12:49:59,书签真心颜值高，不过我打算拿来焚香，扳的时候特别小心担心会断，下次有机会的话想入手另一款香插，就是价钱让我有些肉疼，还附赠了一张明信片，挺有特色的
秋***冻,2018-01-09 18:33:40,美
故***雨,2017-12-28 19:28:02,很漂亮，就是贵了点。
夏***歌,2017-12-31 12:26:47,东西非常好，但我觉得下次快递是否换个小一点的箱子，收到外面的箱子被压扁，里面的包装也坏了。
明***儿,2017-12-06 18:36:58,送人。美人很喜欢。造型优美。
鲜***游,2017-11-19 12:31:50,舍不得掰弯了用，精美！
大***1,2018-04-21 13:43:48,超美的金莲，配上故宫买的杯子，简直不要太好看
z***y,2017-06-20 22:49:30,准备送人的，感觉拿得出手。
b***s,2018-01-27 19:46:59,包装有点单薄，就是纸的，送人的话可能不太适合。拆了塑封，准备自己再包一下。东西本身还挺漂亮的。
可***叶,2017-07-10 12:26:24,这个需要自己瓣造型，很喜欢，点完香擦一下就好，不会黑
l***3,2017-05-14 17:48:49,很棒呢，故宫出品 必数精品。
那***时,2017-11-21 10:59:48,支持故宫文创
叫***董,2017-01-15 11:48:40,东西很好很精致朋友很喜欢
p***2,2018-03-24 09:01:05,五星好评
t***2,2018-02-22 10:50:02,喜欢
梦***雅,2018-01-31 17:02:11,买来准备送人的。包装确实有点&hellip;emmmm打开自己重新装了一次，不过感觉挺好看的。
i***i,2016-12-23 23:52:04,美
t***2,2017-09-25 19:00:30,实物很精巧，非常满意
肉***y,2018-01-16 16:32:33,很漂亮，精致，就是包装还可以更精致点
8***析,2017-11-23 19:56:42,看着很精美，还没用。
王***伦,2018-06-15 21:12:16,相当一般。不喜欢z
豌***萄,2018-01-23 13:02:19,第二次买，送给朋友的小礼物，她非常喜欢！
o***菲,2018-01-05 19:28:43,很美腻
8***年,2017-08-04 15:59:08,还行吧
