username,time,content
t***9,2018-07-13 13:45:39,啧，精致的很，害的我都不敢随便掰，瞅着盒子不太明显，又认认真真的特意看了商品页面下的几张图，虽然依旧有点糊涂（没有每一片掰到何种程度），但凑凑合合弄出来了&hellip;&hellip;隔应。
梦***3,2018-07-28 23:51:30,闺蜜表示很喜欢，颜值高。快递盒里装了很多泡泡纸，遗憾的是，包装盒在快递过程中被同一个快递盒里的千里江山便签纸挤压变形了_(：_」&ang;)_好在是送闺蜜，不在意形式
跳***子,2018-07-12 21:35:48,有一片叶子被其他东西压变形了，懒得再换就没寄回来。整体质感、造型上还可以。
李***y,2018-06-20 11:54:53,包装膜脏脏的，感觉有点破坏东西本身的逼格，送人的，希望卖家升级一下包装
k***1,2018-12-18 09:33:49,好看
东***3,2018-12-18 09:43:03,不错，喜欢
此***空,2018-12-18 11:15:43,原来以为是很小的一个，结果发现还挺大的，直径大概十厘米左右吧，买来送妈妈的。故宫的包装真的没话说，虽然只有买了一个这个，但是盒子很大，完全不会挤坏，很喜欢啦～
犁***o,2018-12-18 11:20:22,这个很好看，但是包装有点单薄，送人不方便
杨***4,2018-08-23 20:39:40,给朋友买的结婚礼物，她非常喜欢。
风***饼,2018-11-23 18:47:06,你女军绿衣服不是我的菜好吃不了解的可以问我有没有对象吗好的老婆晚安魏某啊你在干啥子意思就是我们两个的聊天记录删了你们玩我手机没有啊没有呀，我是真的觉得他有点不高兴我在学校等你消息的时候我就感觉到自己想要的是什么吗哦！你还没动过心都化了一个小时后的我是男的女的都有对象没什么问题可以试试能不能帮我问一下啊？你还没怎么联系方式给你了啊啊你是一个星期后来发现他把钱转给你的朋友，你说怎么回事儿的事就是你的事就是这样的人吗好的
h***6,2018-12-09 21:22:40,"很喜欢的造型。。。。。质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物"
j***a,2017-12-19 22:55:52,美，喜欢！
j***n,2017-02-24 15:37:36,喜欢
2***n,2017-10-06 11:03:21,美啊！
艾***恩,2017-01-28 10:32:36,此用户没有填写评论!
卿***果,2017-06-19 11:53:13,爸爸很喜欢，制作很精致
万***灵,2018-04-03 11:27:04,给妈妈的生日礼物之二，实物非常美，都不舍得弯折，妈妈很喜欢☆好评！
b***g,2018-02-26 18:41:25,包装简单一点 倒是很漂亮
k***3,2017-05-26 22:20:46,这个包装 而且东西在里面都移位了 感觉很廉价 对不起这个价格 习惯性好评
t***j,2018-01-09 18:42:20,非常好，真是很精致。
然***离,2018-01-15 16:44:02,太美了！！ 文艺少女的文艺心 还好多用处～
y***尹,2017-11-15 23:37:08,非常精致，也挺贵。
李***苔,2017-01-16 15:45:43,送朋友，她非常非常喜欢
只***好,2018-01-13 14:40:08,买给小伙伴的生日礼物，她很喜欢? 她开心就好hhhhh???!(??????)?? 觉得蛮浪漫的
j***t,2018-03-19 20:31:55,东西很精致
冷***1,2018-02-01 21:39:43,别致、精致，非常赞！
云***芙,2017-01-13 03:36:11,比想象的要小一点，包装和写着介绍说明的小盒子感觉不够精致，说明写在上面也略生硬。很喜欢这个的意境，理念。物流略慢。总体还是不错哒。
n***l,2017-07-31 10:59:45,确实很精细，但是包装是有点单薄，送到的时候已经掉下来了
緬***餖,2017-12-21 23:45:19,赞不绝口！
h***a,2017-12-26 10:16:59,快递箱子挺大的，可要是个扁的就好了，感觉东西是硬塞进去的，包装盒都变形了，因为要送人，正压在书下面，看看能不能压的平整一点。  其次，这么大的快递箱子。。。又没有保护好我的东西，还不环保，改进一下吧  最后，东西挺好看的，喜欢。
